Product_A,Product_B,Count,Support,Confidence_A→B,Confidence_B→A,Lift
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,396,0.05563360494520933,0.5832106038291606,0.8389830508474576,8.7951124535084
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,346,0.04860915987636977,0.5662847790507365,0.7163561076604554,8.345372789406092
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,310,0.04355155942680528,0.5344827586206896,0.5984555984555985,7.344494741046465
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,411,0.057740938465861195,0.6227272727272727,0.6748768472906403,7.2784445439617835
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,222,0.031188536105647653,0.49443207126948774,0.45585215605749485,7.226627275762245
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,208,0.029221691486372575,0.46325167037861914,0.416,6.594850779510022
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,374,0.05254284911491992,0.5436046511627907,0.634974533106961,6.569402218975797
COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN,209,0.02936218038774937,0.46547884187082406,0.41304347826086957,6.547981020625545
HEART OF WICKER LARGE,HEART OF WICKER SMALL,413,0.058021916268614776,0.6118518518518519,0.5808720112517581,6.125402927540761
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,209,0.02936218038774937,0.42915811088295686,0.418,6.109494866529774
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,277,0.03891542568137117,0.38741258741258744,0.5893617021276596,5.867239994048505
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,189,0.026552402360213542,0.38809034907597534,0.37351778656126483,5.459342104195241
HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN,187,0.02627142455745996,0.374,0.3695652173913043,5.261130434782609
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,314,0.04411351503231245,0.43916083916083914,0.513911620294599,5.116115962597141
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,203,0.02851924697948862,0.4319148936170213,0.3322422258592471,5.031702475885364
72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,168,0.02360213543130093,0.3574468085106383,0.328125,4.969348404255319
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,218,0.03062658050014049,0.3758620689655172,0.40370370370370373,4.954418901660281
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,198,0.027816802472604665,0.3800383877159309,0.36,4.918387715930901
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,304,0.042708626018544533,0.42047026279391425,0.49270664505672607,4.850741216478252
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO STORAGE BAG SUKI,235,0.03301489182354594,0.4510556621880998,0.351270553064275,4.799124369887734
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO SHOPPER VINTAGE RED PAISLEY,216,0.030345602697386908,0.4294234592445328,0.33540372670807456,4.7463294765568085
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,287,0.04032031469513908,0.4105865522174535,0.4651539708265802,4.736718117802
HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,185,0.025990446754706378,0.35714285714285715,0.3425925925925926,4.707671957671957
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,203,0.02851924697948862,0.3322422258592471,0.396484375,4.618945632160393
FELTCRAFT 6 FLOWER FRIENDS,PINK CREAM FELT CRAFT TRINKET BOX,127,0.017842090474852485,0.2967289719626168,0.27608695652173915,4.591558309630232
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG STRAWBERRY,175,0.024585557740938464,0.34791252485089463,0.3181818181818182,4.502620639797578
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,314,0.04411351503231245,0.4492131616595136,0.4343015214384509,4.4225439622301765
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,226,0.03175049171115482,0.31608391608391606,0.44140625,4.3943072552447555
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,228,0.0320314695139084,0.3756177924217463,0.3695299837925446,4.333302182265786
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,355,0.04987355998876089,0.4329268292682927,0.49100968188105115,4.262203555645515
JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,219,0.03076706940151728,0.3981818181818182,0.3273542600896861,4.236559315124337
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,340,0.04776622646810902,0.4146341463414634,0.4864091559370529,4.222268746292613
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,292,0.04102275920202304,0.35609756097560974,0.48105436573311366,4.175786555229638
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO SHOPPER VINTAGE RED PAISLEY,196,0.02753582466985108,0.3761996161228407,0.30434782608695654,4.15805724776767
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,246,0.03456026973869064,0.351931330472103,0.4052718286655684,4.126931153707462
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG PINK VINTAGE PAISLEY,151,0.021213824107895476,0.28982725527831094,0.30019880715705766,4.101372570717728
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO STORAGE BAG SUKI,193,0.027114357965720707,0.3836978131212724,0.2884902840059791,4.082452965317215
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,244,0.03427929193593706,0.40197693574958815,0.33748271092669435,3.9574990714599836
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,293,0.04116324810339983,0.29897959183673467,0.5327272727272727,3.8693395176252317
LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND,275,0.03863444787861759,0.3353658536585366,0.44570502431118314,3.868937028106099
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,227,0.03189098061253161,0.35248447204968947,0.3393124065769806,3.75035048138967
JUMBO BAG STRAWBERRY,JUMBO SHOPPER VINTAGE RED PAISLEY,181,0.025428491149199213,0.3290909090909091,0.281055900621118,3.6373743647656687
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,255,0.035824669851081764,0.4894433781190019,0.2602040816326531,3.5549571076031174
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,245,0.034419780837313854,0.4870775347912525,0.25,3.5377733598409544
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,321,0.045096937341949986,0.32755102040816325,0.4798206278026906,3.485064519081175
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,291,0.04088227030064625,0.2969387755102041,0.4518633540372671,3.2820034224870067
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,450,0.06322000561955606,0.7563025210084033,0.26056745801968734,3.117175069217032
PLASTERS IN TIN SPACEBOY,POSTAGE,68,0.009553245293621804,0.15077605321507762,0.1784776902887139,2.816860752716332
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,223,0.03132902500702445,0.22755102040816327,0.3673805601317957,2.668382476549104
LUNCH BAG SPACEBOY DESIGN,PLASTERS IN TIN SPACEBOY,118,0.016577690362461366,0.1632088520055325,0.2616407982261641,2.5758771808766747
LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,108,0.015172801348693454,0.17792421746293247,0.2109375,2.4735636326194395
CHOCOLATE HOT WATER BOTTLE,PLEASE ONE PERSON METAL SIGN,98,0.01376791233492554,0.16896551724137931,0.19367588932806323,2.3768706555813006
JUMBO STORAGE BAG SUKI,LUNCH BAG  BLACK SKULL.,183,0.025709468951952797,0.273542600896861,0.22317073170731708,2.374483211199825
PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT VINTAGE CHRISTMAS,81,0.01137960101152009,0.158203125,0.16770186335403728,2.331448951863354
JUMBO BAG PINK VINTAGE PAISLEY,LUNCH BAG RED RETROSPOT,100,0.014048890137679123,0.1988071570576541,0.16474464579901152,2.331316876336708
PACK OF 72 RETROSPOT CAKE CASES,RECIPE BOX PANTRY YELLOW DESIGN,83,0.011660578814273672,0.162109375,0.16700201207243462,2.3217193787726353
JUMBO STORAGE BAG SUKI,LUNCH BAG CARS BLUE,151,0.021213824107895476,0.2257100149476831,0.21602288984263232,2.298431883258381
ALARM CLOCK BAKELIKE RED,PAPER CHAIN KIT VINTAGE CHRISTMAS,58,0.00814835627985389,0.1554959785522788,0.12008281573498965,2.291553572122403
RED HANGING HEART T-LIGHT HOLDER,ZINC METAL HEART DECORATION,93,0.013065467828041584,0.15630252100840336,0.19135802469135801,2.289220873534599
HEART OF WICKER LARGE,ZINC METAL HEART DECORATION,104,0.014610845743186288,0.15407407407407409,0.2139917695473251,2.2565828379820148
PAPER CHAIN KIT VINTAGE CHRISTMAS,SCOTTIE DOG HOT WATER BOTTLE,82,0.01152008991289688,0.16977225672877846,0.15185185185185185,2.2378498581397133
JUMBO STORAGE BAG SUKI,LUNCH BAG RED RETROSPOT,127,0.017842090474852485,0.1898355754857997,0.20922570016474465,2.226111410721453
HEART OF WICKER LARGE,NATURAL SLATE HEART CHALKBOARD,118,0.016577690362461366,0.1748148148148148,0.2110912343470483,2.2259961571589475
FELTCRAFT 6 FLOWER FRIENDS,VINTAGE SNAP CARDS,65,0.00913177858949143,0.15186915887850466,0.1329243353783231,2.210643502857252
HEART OF WICKER SMALL,ZINC METAL HEART DECORATION,107,0.015032312447316662,0.15049226441631505,0.22016460905349794,2.204123329455413
PAPER CHAIN KIT VINTAGE CHRISTMAS,VINTAGE SNAP CARDS,73,0.01025568980050576,0.15113871635610765,0.1492842535787321,2.200011008226533
60 TEATIME FAIRY CAKE CASES,SWEETHEART CERAMIC TRINKET BOX,103,0.014470356841809497,0.14405594405594405,0.21822033898305085,2.1724368851487497
HEART OF WICKER LARGE,RED HANGING HEART T-LIGHT HOLDER,122,0.01713964596796853,0.18074074074074073,0.20504201680672268,2.1622060379707437
HEART OF WICKER LARGE,LOVE BUILDING BLOCK WORD,120,0.01685866816521495,0.17777777777777778,0.2037351443123939,2.148424825504622
HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS,95,0.013346445630795168,0.1833976833976834,0.15548281505728315,2.1365379876018173
HEART OF WICKER SMALL,NATURAL SLATE HEART CHALKBOARD,118,0.016577690362461366,0.1659634317862166,0.2110912343470483,2.1132874909736845
JUMBO STORAGE BAG SUKI,LUNCH BAG SPACEBOY DESIGN,143,0.020089912896881147,0.21375186846038863,0.19778699861687413,2.104406361965486
HEART OF WICKER LARGE,RECIPE BOX PANTRY YELLOW DESIGN,98,0.01376791233492554,0.1451851851851852,0.19718309859154928,2.079332290036515
NATURAL SLATE HEART CHALKBOARD,ZINC METAL HEART DECORATION,79,0.011098623208766508,0.1413237924865832,0.16255144032921812,2.0698410595051424
72 SWEETHEART FAIRY CAKE CASES,SWEETHEART CERAMIC TRINKET BOX,64,0.00899128968811464,0.13617021276595745,0.13559322033898305,2.0535160476018754
LOVE BUILDING BLOCK WORD,WOODEN FRAME ANTIQUE WHITE,112,0.015734756954200617,0.19015280135823429,0.1696969696969697,2.0507691516180477
HEART OF WICKER SMALL,RECIPE BOX PANTRY YELLOW DESIGN,101,0.014189379039055915,0.1420534458509142,0.20321931589537223,2.0344797335348237
PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,89,0.01250351222253442,0.173828125,0.14566284779050737,2.0250549815875614
HOT WATER BOTTLE TEA AND SYMPATHY,RECIPE BOX PANTRY YELLOW DESIGN,73,0.01025568980050576,0.14092664092664092,0.14688128772635814,2.018341710494628
JUMBO BAG RED RETROSPOT,LUNCH BAG CARS BLUE,194,0.0272548468670975,0.19795918367346937,0.27753934191702434,2.0158418732299785
JUMBO  BAG BAROQUE BLACK WHITE,LUNCH BAG RED RETROSPOT,89,0.01250351222253442,0.1708253358925144,0.14662273476112025,2.0031873820146906
JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND,116,0.01629671255970778,0.17339312406576982,0.1880064829821718,2.0003440147490266
LUNCH BAG WOODLAND,PLASTERS IN TIN SPACEBOY,78,0.010958134307389716,0.12641815235008103,0.1729490022172949,1.9952204178001705
JUMBO BAG STRAWBERRY,LUNCH BAG WOODLAND,95,0.013346445630795168,0.17272727272727273,0.1539708265802269,1.9926624429055548
JUMBO BAG PINK VINTAGE PAISLEY,LUNCH BAG CARS BLUE,98,0.01376791233492554,0.19483101391650098,0.1402002861230329,1.9839873491525808
BAKING SET 9 PIECE RETROSPOT,VINTAGE SNAP CARDS,76,0.010677156504636133,0.13620071684587814,0.1554192229038855,1.9825699437811057
CHOCOLATE HOT WATER BOTTLE,COOK WITH WINE METAL SIGN,72,0.010115200899128969,0.12413793103448276,0.1603563474387528,1.9679594501190383
JUMBO BAG STRAWBERRY,LUNCH BAG CARS BLUE,106,0.01489182354593987,0.19272727272727272,0.15164520743919885,1.9625647028222135
JUMBO BAG STRAWBERRY,LUNCH BAG RED RETROSPOT,92,0.012924978926664794,0.16727272727272727,0.1515650741350906,1.9615276321701363
JUMBO  BAG BAROQUE BLACK WHITE,LUNCH BAG  BLACK SKULL.,117,0.016437201461084575,0.22456813819577734,0.14268292682926828,1.9493609849726135
